Brand_Name,Policy_Name,Cashless_Hospitals,Coverage_Amount,Monthly_Premium,Annual_Premium,Claim_Settlement_Ratio
Care Health,Care Advantage,15,₹2 Cr,"₹3,468/month","₹41,611 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹2 Cr,"₹3,594/month","₹43,122 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹2 Cr,"₹3,468/month","₹41,611 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹2 Cr,"₹4,070/month","₹48,834 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹2 Cr,"₹3,468/month","₹41,611 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹2 Cr,"₹4,070/month","₹48,834 / Year",93 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹2 Cr,"₹2,272/month","₹27,263 / Year",85.80 % claim settlement ratio
Niva Bupa,Health Premia Platinum,16,₹2 Cr,"₹5,815/month","₹69,780 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹2 Cr,"₹1,896/month","₹22,756 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹1.5 Cr,"₹2,156/month","₹25,874 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹3 Cr,"₹2,011/month","₹24,136 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹2 Cr,"₹2,873/month","₹34,475 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹2 Cr,"₹2,873/month","₹34,475 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹2 Cr,"₹2,904/month","₹34,846 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹2 Cr,"₹2,904/month","₹34,846 / Year",99.80 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹1.5 Cr,"₹2,518/month","₹30,212 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹1.5 Cr,"₹1,332/month","₹15,989 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹1.5 Cr,"₹1,351/month","₹16,213 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹1.5 Cr,"₹1,326/month","₹15,915 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹1.5 Cr,"₹2,499/month","₹29,989 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹1.5 Cr,"₹2,493/month","₹29,915 / Year",93.4 % claim settlement ratio
Royal Sundaram,Lifeline Elite,15,₹1.5 Cr,"₹6,976/month","₹83,717 / Year",92 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹1 Cr,"₹1,659/month","₹19,908 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹1 Cr,"₹1,709/month","₹5,128 for 3 months",93 % claim settlement ratio
Care Health,Care Advantage,15,₹1 Cr,"₹1,397/month","₹16,761 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹1 Cr,"₹1,501/month","₹18,017 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹1 Cr,"₹1,397/month","₹16,761 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹1 Cr,"₹2,470/month","₹29,642 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹1 Cr,"₹2,189/month","₹26,267 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹1 Cr,"₹2,470/month","₹29,642 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹1 Cr,"₹1,936/month","₹23,231 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹1 Cr,"₹2,048/month","₹24,579 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹1 Cr,"₹2,045/month","₹24,536 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹1 Cr,"₹2,213/month","₹26,556 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹1 Cr,"₹2,877/month","₹34,523 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹1 Cr,"₹1,590/month","₹19,081 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹1 Cr,"₹2,299/month","₹27,584 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹1 Cr,"₹2,356/month","₹28,266 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹1 Cr,"₹2,158/month","₹25,894 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹1 Cr,"₹1,803/month","₹21,638 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹1 Cr,"₹2,031/month","₹24,377 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹1 Cr,"₹2,236/month","₹26,833 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹1 Cr,"₹2,250/month","₹27,000 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹1 Cr,"₹2,594/month","₹31,130 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹1 Cr,"₹2,789/month","₹33,465 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Platinum,16,₹1 Cr,"₹5,302/month","₹63,627 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹1 Cr,"₹1,679/month","₹20,142 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹1 Cr,"₹2,015/month","₹24,182 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹1 Cr,"₹1,670/month","₹20,039 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹1 Cr,"₹2,530/month","₹30,362 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹1 Cr,"₹2,530/month","₹30,362 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹1 Cr,"₹2,561/month","₹30,733 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹1 Cr,"₹2,561/month","₹30,733 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Prime,15,₹1 Cr,"₹1,843/month","₹22,120 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Time,15,₹1 Cr,"₹1,848/month","₹22,176 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Global,15,₹1 Cr,"₹1,848/month","₹22,176 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Cover,15,₹1 Cr,"₹1,848/month","₹22,176 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹1 Cr,"₹2,325/month","₹27,901 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹1 Cr,"₹1,273/month","₹15,279 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹1 Cr,"₹1,291/month","₹15,492 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹1 Cr,"₹1,267/month","₹15,208 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹1 Cr,"₹2,307/month","₹27,688 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹1 Cr,"₹2,301/month","₹27,617 / Year",93.4 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹1 Cr,"₹1,583/month","₹18,991 / Year",92 % claim settlement ratio
Royal Sundaram,Lifeline Elite,15,₹1 Cr,"₹5,641/month","₹67,695 / Year",92 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹1 Cr,"₹1,832/month","₹21,983 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹1 Cr,"₹1,889/month","₹22,668 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹1 Cr,"₹2,098/month","₹25,181 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹1 Cr,"₹1,908/month","₹22,892 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹1 Cr,"₹1,965/month","₹23,576 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹1 Cr,"₹2,174/month","₹26,090 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹1 Cr,"₹2,211/month","₹26,526 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹1 Cr,"₹2,268/month","₹27,211 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹1 Cr,"₹2,477/month","₹29,724 / Year",96 % claim settlement ratio
Digit Insurance,Double Wallet Plan,10,₹1 Cr,"₹1,613/month","₹19,352 / Year",96 % claim settlement ratio
Digit Insurance,Infinity Wallet Plan,10,₹1 Cr,"₹1,932/month","₹23,189 / Year",96 % claim settlement ratio
Digit Insurance,Worldwide Treatment plan,10,₹1 Cr,"₹3,447/month","₹41,360 / Year",96 % claim settlement ratio
Star Health,Mediclassic Individual Silver,16,₹1.5 Lac,₹432/month,"₹5,189 / Year",85.80 % claim settlement ratio
Star Health,Arogya Sanjivini Individual,16,₹1 Lac,₹382/month,"₹4,578 / Year",85.80 % claim settlement ratio
Star Health,Out Patient Care Platinum,16,₹1 Lac,"₹1,236/month","₹14,827 / Year",85.80 % claim settlement ratio
Star Health,Out Patient Care Gold,16,₹1 Lac,"₹1,172/month","₹14,066 / Year",85.80 % claim settlement ratio
Star Health,Out Patient Care Silver,16,₹1 Lac,"₹1,019/month","₹12,231 / Year",85.80 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio
New India Assurance,New India Mediclaim 2012,16,₹1 Lac,₹436/month,"₹5,237 / Year",98 % claim settlement ratio
New India Assurance,Aarogya sanjeevani,16,₹1 Lac,₹374/month,"₹4,490 / Year",98 % claim settlement ratio
Royal Sundaram,Lifeline Classic,15,₹2 Lac,₹615/month,"₹7,374 / Year",92 % claim settlement ratio
IFFCO Tokio,Individual Health Protector,12,₹1.5 Lac,₹413/month,"₹4,958 / Year",98.90 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹2 Cr,"₹4,070/month","₹48,834 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹2 Cr,"₹3,468/month","₹41,611 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹2 Cr,"₹4,070/month","₹48,834 / Year",93 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹2 Cr,"₹2,272/month","₹27,263 / Year",85.80 % claim settlement ratio
Niva Bupa,Health Premia Platinum,16,₹2 Cr,"₹5,815/month","₹69,780 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹2 Cr,"₹1,896/month","₹22,756 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹2 Cr,"₹2,405/month","₹28,858 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹3 Cr,"₹2,011/month","₹24,136 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹2 Cr,"₹2,873/month","₹34,475 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹2 Cr,"₹2,873/month","₹34,475 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹2 Cr,"₹2,904/month","₹34,846 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹2 Cr,"₹2,904/month","₹34,846 / Year",99.80 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹2 Cr,"₹2,730/month","₹32,759 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹2 Cr,"₹1,411/month","₹16,930 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹2 Cr,"₹1,431/month","₹17,168 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹2 Cr,"₹1,404/month","₹16,851 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹2 Cr,"₹2,710/month","₹32,522 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹2 Cr,"₹2,704/month","₹32,442 / Year",93.4 % claim settlement ratio
Star Health,Mediclassic Individual Silver,16,₹2 Lac,₹448/month,"₹5,376 / Year",85.80 % claim settlement ratio
Star Health,Arogya Sanjivini Individual,16,₹2 Lac,₹411/month,"₹4,927 / Year",85.80 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio
New India Assurance,New India Mediclaim 2012,16,₹2 Lac,₹683/month,"₹8,200 / Year",98 % claim settlement ratio
New India Assurance,Aarogya sanjeevani,16,₹2 Lac,₹517/month,"₹6,203 / Year",98 % claim settlement ratio
Royal Sundaram,Lifeline Classic,15,₹2 Lac,₹615/month,"₹7,374 / Year",92 % claim settlement ratio
IFFCO Tokio,Individual Health Protector,12,₹2 Lac,₹471/month,"₹5,646 / Year",98.90 % claim settlement ratio
Care Health,Care Supreme VFM Discounted,15,₹5 Lac,₹581/month,"₹6,969 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹732/month,"₹8,783 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹755/month,"₹2,264 for 3 months",93 % claim settlement ratio
Care Health,Care Freedom,15,₹3 Lac,₹502/month,"₹6,024 / Year",93 % claim settlement ratio
Care Health,Care Heart,15,₹3 Lac,₹750/month,"₹9,000 / Year",93 % claim settlement ratio
Care Health,Care Freedom with Health Check Plus,15,₹3 Lac,₹502/month,"₹6,024 / Year",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹5 Lac,"₹1,276/month","₹15,312 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹3 Lac,₹456/month,"₹5,466 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹3 Lac,₹570/month,"₹6,839 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹5 Lac,₹683/month,"₹8,192 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹5 Lac,₹794/month,"₹9,529 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Gold,16,₹3 Lac,₹661/month,"₹7,937 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Silver,16,₹3 Lac,₹618/month,"₹7,419 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹5 Lac,"₹1,032/month","₹12,388 / Year",85.80 % claim settlement ratio
Star Health,Diabetes Safe Plan-A,16,₹3 Lac,"₹1,526/month","₹18,307 / Year",85.80 % claim settlement ratio
Star Health,Diabetes Safe Plan-B,16,₹3 Lac,"₹1,695/month","₹20,341 / Year",85.80 % claim settlement ratio
Star Health,Arogya Sanjivini Individual,16,₹3 Lac,₹442/month,"₹5,298 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹5 Lac,₹618/month,"₹7,417 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹5 Lac,₹912/month,"₹10,943 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹5 Lac,₹937/month,"₹11,239 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹5 Lac,₹830/month,"₹9,955 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹5 Lac,₹683/month,"₹8,194 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹5 Lac,₹782/month,"₹9,383 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹5 Lac,₹843/month,"₹10,114 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹5 Lac,₹848/month,"₹10,179 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹3 Lac,₹873/month,"₹10,470 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹3 Lac,₹960/month,"₹11,518 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Silver,16,₹5 Lac,"₹1,413/month","₹16,953 / Year",92 % claim settlement ratio
Niva Bupa,Health Pulse,16,₹5 Lac,₹601/month,"₹7,207 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹5 Lac,₹654/month,"₹7,846 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹5 Lac,₹710/month,"₹8,522 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹5 Lac,₹736/month,"₹8,832 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹5 Lac,₹876/month,"₹10,507 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹5 Lac,₹909/month,"₹10,913 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + Befit,12,₹5 Lac,"₹1,139/month","₹13,670 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Befit,12,₹5 Lac,"₹1,105/month","₹13,263 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹5 Lac,₹940/month,"₹11,284 / Year",99.80 % claim settlement ratio
