Brand_Name,Policy_Name,Cashless_Hospitals,Coverage_Amount,Monthly_Premium,Annual_Premium,Claim_Settlement_Ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹5 Lac,₹907/month,"₹10,878 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + SI Protector + Befit,12,₹5 Lac,"₹1,136/month","₹13,634 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + SI Protector + Befit,12,₹5 Lac,"₹1,170/month","₹14,040 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Plus,15,₹5 Lac,₹535/month,"₹6,416 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio
Cholamandalam MS,Flexi Health Individual,16,₹5 Lac,₹879/month,"₹10,550 / Year",94 % claim settlement ratio
New India Assurance,New India Mediclaim 2012,16,₹3 Lac,₹804/month,"₹9,642 / Year",98 % claim settlement ratio
New India Assurance,Aarogya sanjeevani,16,₹3 Lac,₹593/month,"₹7,120 / Year",98 % claim settlement ratio
Royal Sundaram,Lifeline Classic,15,₹3 Lac,₹707/month,"₹8,481 / Year",92 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹5 Lac,₹797/month,"₹9,566 / Year",92 % claim settlement ratio
Zuno,Zuno Gold + Health 241,10,₹5 Lac,"₹1,309/month","₹15,707 / Year",95 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹5 Lac,₹613/month,"₹7,351 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹5 Lac,₹657/month,"₹7,882 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹5 Lac,₹828/month,"₹9,936 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Privilege,20,₹6 Lac,₹866/month,"₹10,396 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Essential,20,₹4 Lac,₹708/month,"₹8,496 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Digi-Pro,20,₹4 Lac,₹652/month,"₹7,823 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹5 Lac,₹641/month,"₹7,694 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹5 Lac,₹685/month,"₹8,225 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹5 Lac,₹857/month,"₹10,278 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹5 Lac,₹753/month,"₹9,039 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹5 Lac,₹798/month,"₹9,570 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹5 Lac,₹969/month,"₹11,623 / Year",96 % claim settlement ratio
IFFCO Tokio,Individual Health Protector,12,₹3 Lac,₹610/month,"₹7,321 / Year",98.90 % claim settlement ratio
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹4 Lac,₹629/month,"₹7,550 / Year",90 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹3 Cr,"₹4,577/month","₹54,927 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹3 Cr,"₹3,893/month","₹46,716 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹3 Cr,"₹4,577/month","₹54,927 / Year",93 % claim settlement ratio
Niva Bupa,Health Premia Platinum,16,₹3 Cr,"₹6,208/month","₹74,497 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹3 Cr,"₹2,185/month","₹26,221 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹3 Cr,"₹2,011/month","₹24,136 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹3 Cr,"₹3,122/month","₹37,458 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹3 Cr,"₹3,122/month","₹37,458 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹3 Cr,"₹3,152/month","₹37,829 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹3 Cr,"₹3,152/month","₹37,829 / Year",99.80 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹3 Cr,"₹3,287/month","₹39,448 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹3 Cr,"₹1,655/month","₹19,864 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹3 Cr,"₹1,679/month","₹20,143 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹3 Cr,"₹1,648/month","₹19,772 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹3 Cr,"₹3,264/month","₹39,169 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹3 Cr,"₹3,256/month","₹39,076 / Year",93.4 % claim settlement ratio
Care Health,Care Supreme VFM Discounted,15,₹5 Lac,₹581/month,"₹6,969 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹732/month,"₹8,783 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹755/month,"₹2,264 for 3 months",93 % claim settlement ratio
Care Health,Care Freedom,15,₹3 Lac,₹502/month,"₹6,024 / Year",93 % claim settlement ratio
Care Health,Care Heart,15,₹3 Lac,₹750/month,"₹9,000 / Year",93 % claim settlement ratio
Care Health,Care Freedom with Health Check Plus,15,₹3 Lac,₹502/month,"₹6,024 / Year",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹5 Lac,"₹1,276/month","₹15,312 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹3 Lac,₹456/month,"₹5,466 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹3 Lac,₹570/month,"₹6,839 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹5 Lac,₹683/month,"₹8,192 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹5 Lac,₹794/month,"₹9,529 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Gold,16,₹3 Lac,₹661/month,"₹7,937 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Silver,16,₹3 Lac,₹618/month,"₹7,419 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹5 Lac,"₹1,032/month","₹12,388 / Year",85.80 % claim settlement ratio
Star Health,Diabetes Safe Plan-A,16,₹3 Lac,"₹1,526/month","₹18,307 / Year",85.80 % claim settlement ratio
Star Health,Diabetes Safe Plan-B,16,₹3 Lac,"₹1,695/month","₹20,341 / Year",85.80 % claim settlement ratio
Star Health,Arogya Sanjivini Individual,16,₹3 Lac,₹442/month,"₹5,298 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹5 Lac,₹618/month,"₹7,417 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹5 Lac,₹912/month,"₹10,943 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹5 Lac,₹937/month,"₹11,239 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹5 Lac,₹830/month,"₹9,955 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹5 Lac,₹683/month,"₹8,194 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹5 Lac,₹782/month,"₹9,383 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹5 Lac,₹843/month,"₹10,114 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹5 Lac,₹848/month,"₹10,179 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹3 Lac,₹873/month,"₹10,470 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹3 Lac,₹960/month,"₹11,518 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Silver,16,₹5 Lac,"₹1,413/month","₹16,953 / Year",92 % claim settlement ratio
Niva Bupa,Health Pulse,16,₹5 Lac,₹601/month,"₹7,207 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹5 Lac,₹654/month,"₹7,846 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹5 Lac,₹710/month,"₹8,522 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹5 Lac,₹736/month,"₹8,832 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹5 Lac,₹876/month,"₹10,507 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹5 Lac,₹909/month,"₹10,913 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + Befit,12,₹5 Lac,"₹1,139/month","₹13,670 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Befit,12,₹5 Lac,"₹1,105/month","₹13,263 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹5 Lac,₹940/month,"₹11,284 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹5 Lac,₹907/month,"₹10,878 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + SI Protector + Befit,12,₹5 Lac,"₹1,136/month","₹13,634 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + SI Protector + Befit,12,₹5 Lac,"₹1,170/month","₹14,040 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Plus,15,₹5 Lac,₹535/month,"₹6,416 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio
Cholamandalam MS,Flexi Health Individual,16,₹5 Lac,₹879/month,"₹10,550 / Year",94 % claim settlement ratio
New India Assurance,New India Mediclaim 2012,16,₹3 Lac,₹804/month,"₹9,642 / Year",98 % claim settlement ratio
New India Assurance,Aarogya sanjeevani,16,₹3 Lac,₹593/month,"₹7,120 / Year",98 % claim settlement ratio
Royal Sundaram,Lifeline Classic,15,₹3 Lac,₹707/month,"₹8,481 / Year",92 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹5 Lac,₹797/month,"₹9,566 / Year",92 % claim settlement ratio
Zuno,Zuno Gold + Health 241,10,₹5 Lac,"₹1,309/month","₹15,707 / Year",95 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹5 Lac,₹613/month,"₹7,351 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹5 Lac,₹657/month,"₹7,882 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹5 Lac,₹828/month,"₹9,936 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Privilege,20,₹6 Lac,₹866/month,"₹10,396 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Essential,20,₹4 Lac,₹708/month,"₹8,496 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Digi-Pro,20,₹4 Lac,₹652/month,"₹7,823 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹5 Lac,₹641/month,"₹7,694 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹5 Lac,₹685/month,"₹8,225 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹5 Lac,₹857/month,"₹10,278 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹5 Lac,₹753/month,"₹9,039 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹5 Lac,₹798/month,"₹9,570 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹5 Lac,₹969/month,"₹11,623 / Year",96 % claim settlement ratio
IFFCO Tokio,Individual Health Protector,12,₹3 Lac,₹610/month,"₹7,321 / Year",98.90 % claim settlement ratio
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹4 Lac,₹629/month,"₹7,550 / Year",90 % claim settlement ratio
Care Health,Care Supreme VFM Discounted,15,₹5 Lac,₹581/month,"₹6,969 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹732/month,"₹8,783 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹5 Lac,₹755/month,"₹2,264 for 3 months",93 % claim settlement ratio
Care Health,Care Freedom,15,₹5 Lac,₹589/month,"₹7,062 / Year",93 % claim settlement ratio
Care Health,Care Heart,15,₹5 Lac,₹956/month,"₹11,469 / Year",93 % claim settlement ratio
Care Health,Care Freedom with Health Check Plus,15,₹5 Lac,₹589/month,"₹7,062 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹5 Lac,₹625/month,"₹7,497 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹5 Lac,₹740/month,"₹8,876 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹5 Lac,₹683/month,"₹8,192 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹5 Lac,₹794/month,"₹9,529 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Gold,16,₹5 Lac,₹884/month,"₹10,609 / Year",85.80 % claim settlement ratio
Star Health,Mediclassic Individual Silver,16,₹5 Lac,₹826/month,"₹9,915 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹5 Lac,"₹1,032/month","₹12,388 / Year",85.80 % claim settlement ratio
Star Health,Diabetes Safe Plan-A,16,₹5 Lac,"₹1,764/month","₹21,167 / Year",85.80 % claim settlement ratio
Star Health,Diabetes Safe Plan-B,16,₹5 Lac,"₹2,004/month","₹24,053 / Year",85.80 % claim settlement ratio
Star Health,Arogya Sanjivini Individual,16,₹5 Lac,₹533/month,"₹6,396 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹5 Lac,₹618/month,"₹7,417 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹5 Lac,₹912/month,"₹10,943 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹5 Lac,₹937/month,"₹11,239 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹5 Lac,₹830/month,"₹9,955 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹5 Lac,₹683/month,"₹8,194 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹5 Lac,₹782/month,"₹9,383 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹5 Lac,₹843/month,"₹10,114 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹5 Lac,₹848/month,"₹10,179 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹5 Lac,₹802/month,"₹9,629 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹5 Lac,₹883/month,"₹10,592 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹10 Lac,"₹1,840/month","₹22,081 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Silver,16,₹5 Lac,"₹1,413/month","₹16,953 / Year",92 % claim settlement ratio
Niva Bupa,Health Pulse,16,₹5 Lac,₹601/month,"₹7,207 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹5 Lac,₹654/month,"₹7,846 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹5 Lac,₹710/month,"₹8,522 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum Essential - Waiver of mandatory co-payment,14,₹5 Lac,₹710/month,"₹8,522 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹5 Lac,₹736/month,"₹8,832 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹5 Lac,₹876/month,"₹10,507 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹5 Lac,₹909/month,"₹10,913 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + Befit,12,₹5 Lac,"₹1,139/month","₹13,670 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Befit,12,₹5 Lac,"₹1,105/month","₹13,263 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹5 Lac,₹940/month,"₹11,284 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹5 Lac,₹907/month,"₹10,878 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + SI Protector + Befit,12,₹5 Lac,"₹1,136/month","₹13,634 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Maternity ( New born + Vaccination ) + Claim Protector + SI Protector + Befit,12,₹5 Lac,"₹1,170/month","₹14,040 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Plus,15,₹5 Lac,₹535/month,"₹6,416 / Year",99.90 % claim settlement ratio
Reliance,Health Gain Power,15,₹10 Lac,₹756/month,"₹9,071 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Time,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Global,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Cover,15,₹10 Lac,₹766/month,"₹9,196 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio
