Brand_Name,Policy_Name,Cashless_Hospitals,Coverage_Amount,Monthly_Premium,Annual_Premium,Claim_Settlement_Ratio
Universal Sompo,Complete HealthCare Insurance - Premier,20,₹25 Lac,"₹1,727/month","₹20,721 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Executive,20,₹40 Lac,"₹1,627/month","₹19,529 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹25 Lac,"₹1,596/month","₹19,151 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹25 Lac,"₹1,494/month","₹17,924 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹25 Lac,"₹1,686/month","₹20,237 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹25 Lac,"₹1,664/month","₹19,966 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹25 Lac,"₹1,875/month","₹22,503 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹25 Lac,"₹1,908/month","₹22,892 / Year",96 % claim settlement ratio
Digit Insurance,Double Wallet Plan,10,₹25 Lac,"₹1,222/month","₹14,660 / Year",96 % claim settlement ratio
Digit Insurance,Infinity Wallet Plan,10,₹25 Lac,"₹1,464/month","₹17,568 / Year",96 % claim settlement ratio
Digit Insurance,Worldwide Treatment plan,10,₹25 Lac,"₹1,803/month","₹21,639 / Year",96 % claim settlement ratio
Magma HDI,Secure with Bonus Booster and Zonewise Copay Waiver,16,₹25 Lac,"₹1,222/month","₹14,664 / Year",90 % claim settlement ratio
Care Health,Care with Care Shield,15,₹30 Lac,"₹2,298/month","₹27,577 / Year",93 % claim settlement ratio
Niva Bupa,Health Companion,16,₹30 Lac,"₹1,699/month","₹20,383 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹30 Lac,"₹1,522/month","₹18,261 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹30 Lac,"₹2,261/month","₹27,135 / Year",92 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹30 Lac,"₹1,278/month","₹15,340 / Year",96 % claim settlement ratio
Reliance,Health Gain Prime,15,₹30 Lac,"₹1,236/month","₹14,831 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹2,106/month","₹25,277 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹1,212/month","₹14,545 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹1,229/month","₹14,747 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹1,206/month","₹14,477 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹2,090/month","₹25,075 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹2,084/month","₹25,008 / Year",93.4 % claim settlement ratio
Royal Sundaram,Lifeline Elite,15,₹30 Lac,"₹3,570/month","₹42,834 / Year",92 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Premier,20,₹30 Lac,"₹1,754/month","₹21,051 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Executive,20,₹40 Lac,"₹1,627/month","₹19,529 / Year",96 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹50 Lac,"₹1,318/month","₹15,818 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹50 Lac,"₹1,358/month","₹4,075 for 3 months",93 % claim settlement ratio
Care Health,Care Advantage,15,₹50 Lac,"₹1,077/month","₹12,923 / Year",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹50 Lac,"₹5,511/month","₹66,131 / Year",93 % claim settlement ratio
Care Health,Care Advantage with NCB,15,₹50 Lac,"₹1,158/month","₹13,892 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period,15,₹50 Lac,"₹1,265/month","₹15,183 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Inc US,15,₹50 Lac,"₹2,110/month","₹25,325 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Global Coverage Ex US,15,₹50 Lac,"₹1,889/month","₹22,669 / Year",93 % claim settlement ratio
Care Health,Care Advantage with Reduction In PED Waiting period and Global coverage Inc US,15,₹50 Lac,"₹2,110/month","₹25,325 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹50 Lac,"₹1,541/month","₹18,494 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹50 Lac,"₹1,653/month","₹19,837 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹50 Lac,"₹1,685/month","₹20,223 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹50 Lac,"₹1,906/month","₹22,868 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹50 Lac,"₹2,477/month","₹29,729 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹50 Lac,"₹1,293/month","₹15,518 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹50 Lac,"₹1,686/month","₹20,226 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹50 Lac,"₹1,726/month","₹20,709 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹50 Lac,"₹1,575/month","₹18,897 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹50 Lac,"₹1,361/month","₹16,331 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹50 Lac,"₹1,548/month","₹18,580 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹50 Lac,"₹1,737/month","₹20,839 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹50 Lac,"₹1,747/month","₹20,967 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹50 Lac,"₹1,695/month","₹20,344 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹50 Lac,"₹2,187/month","₹26,244 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Gold,16,₹50 Lac,"₹2,363/month","₹28,359 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹50 Lac,"₹1,317/month","₹15,801 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹50 Lac,"₹1,709/month","₹20,502 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹50 Lac,"₹1,437/month","₹17,243 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹50 Lac,"₹2,061/month","₹24,730 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹50 Lac,"₹2,061/month","₹24,730 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹50 Lac,"₹2,092/month","₹25,100 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹50 Lac,"₹2,092/month","₹25,100 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Prime,15,₹50 Lac,"₹1,497/month","₹17,958 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Time,15,₹50 Lac,"₹1,573/month","₹18,879 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Global,15,₹50 Lac,"₹1,573/month","₹18,879 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Cover,15,₹50 Lac,"₹1,573/month","₹18,879 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,859/month","₹22,307 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,161/month","₹13,930 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹50 Lac,"₹1,177/month","₹14,124 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,156/month","₹13,866 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹50 Lac,"₹1,843/month","₹22,114 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹50 Lac,"₹1,837/month","₹22,049 / Year",93.4 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹50 Lac,"₹1,420/month","₹17,042 / Year",92 % claim settlement ratio
Royal Sundaram,Lifeline Elite,15,₹50 Lac,"₹4,943/month","₹59,319 / Year",92 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹50 Lac,"₹1,458/month","₹17,499 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹50 Lac,"₹1,510/month","₹18,125 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹50 Lac,"₹1,706/month","₹20,473 / Year",96 % claim settlement ratio
Universal Sompo,Complete HealthCare Insurance - Executive,20,₹50 Lac,"₹1,877/month","₹22,526 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹50 Lac,"₹1,517/month","₹18,207 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹50 Lac,"₹1,569/month","₹18,833 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹50 Lac,"₹1,765/month","₹21,181 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹50 Lac,"₹1,750/month","₹21,004 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹50 Lac,"₹1,802/month","₹21,629 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹50 Lac,"₹1,998/month","₹23,978 / Year",96 % claim settlement ratio
Digit Insurance,Double Wallet Plan,10,₹50 Lac,"₹1,409/month","₹16,909 / Year",96 % claim settlement ratio
Digit Insurance,Infinity Wallet Plan,10,₹50 Lac,"₹1,689/month","₹20,262 / Year",96 % claim settlement ratio
Digit Insurance,Worldwide Treatment plan,10,₹50 Lac,"₹2,446/month","₹29,349 / Year",96 % claim settlement ratio
Care Health,Care with Care Shield,15,₹60 Lac,"₹6,416/month","₹76,988 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹75 Lac,"₹1,690/month","₹20,279 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹75 Lac,"₹1,802/month","₹21,628 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹75 Lac,"₹1,886/month","₹22,635 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹75 Lac,"₹2,068/month","₹24,815 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹75 Lac,"₹2,688/month","₹32,260 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹75 Lac,"₹1,481/month","₹17,767 / Year",85.80 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹75 Lac,"₹1,512/month","₹18,138 / Year",96 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹75 Lac,"₹2,299/month","₹27,583 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹75 Lac,"₹2,299/month","₹27,583 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹75 Lac,"₹2,330/month","₹27,954 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹75 Lac,"₹2,330/month","₹27,954 / Year",99.80 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹2,106/month","₹25,277 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹1,212/month","₹14,545 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹1,229/month","₹14,747 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹1,206/month","₹14,477 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹2,090/month","₹25,075 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹2,084/month","₹25,008 / Year",93.4 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹75 Lac,"₹1,733/month","₹20,792 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹75 Lac,"₹1,789/month","₹21,464 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹75 Lac,"₹1,993/month","₹23,919 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹75 Lac,"₹1,802/month","₹21,629 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹75 Lac,"₹1,859/month","₹22,302 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹75 Lac,"₹2,063/month","₹24,756 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹75 Lac,"₹2,084/month","₹25,004 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹75 Lac,"₹2,140/month","₹25,677 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹75 Lac,"₹2,344/month","₹28,131 / Year",96 % claim settlement ratio
Care Health,Care Supreme Discounted + Wellness Benefit + Air Ambulance + NCB Super,15,₹1 Cr,"₹1,659/month","₹19,908 / Year",93 % claim settlement ratio
Care Health,Care Supreme Discounted (Quarterly) + Wellness Benefit + Air Ambulance + NCB Super,15,₹1 Cr,"₹1,709/month","₹5,128 for 3 months",93 % claim settlement ratio
Care Health,Care with Care Shield,15,₹75 Lac,"₹7,831/month","₹93,969 / Year",93 % claim settlement ratio
Star Health,Young Star Silver,16,₹75 Lac,"₹1,690/month","₹20,279 / Year",85.80 % claim settlement ratio
Star Health,Young Star Gold,16,₹75 Lac,"₹1,802/month","₹21,628 / Year",85.80 % claim settlement ratio
Star Health,Assure Insurance Policy,16,₹75 Lac,"₹1,886/month","₹22,635 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive Individual,16,₹75 Lac,"₹2,068/month","₹24,815 / Year",85.80 % claim settlement ratio
Star Health,Comprehensive with PED Buy Back,16,₹75 Lac,"₹2,688/month","₹32,260 / Year",85.80 % claim settlement ratio
Star Health,Smart Health Pro,16,₹75 Lac,"₹1,481/month","₹17,767 / Year",85.80 % claim settlement ratio
Niva Bupa,Reassure 2.0 Platinum+ (Direct),16,₹1 Cr,"₹2,299/month","₹27,584 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Titanium+ (Direct),16,₹1 Cr,"₹2,356/month","₹28,266 / Year",92 % claim settlement ratio
Niva Bupa,Reassure 2.0 Bronze+(Direct),16,₹1 Cr,"₹2,158/month","₹25,894 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Gold + (Direct),16,₹1 Cr,"₹1,803/month","₹21,638 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Diamond + (Direct),16,₹1 Cr,"₹2,031/month","₹24,377 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Platinum + (Direct),16,₹1 Cr,"₹2,236/month","₹26,833 / Year",92 % claim settlement ratio
Niva Bupa,Aspire Titanium + (Direct),16,₹1 Cr,"₹2,250/month","₹27,000 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion,16,₹1 Cr,"₹2,594/month","₹31,130 / Year",92 % claim settlement ratio
Niva Bupa,Health Companion + Safeguard,16,₹1 Cr,"₹2,789/month","₹33,465 / Year",92 % claim settlement ratio
Niva Bupa,Health Premia Platinum,16,₹1 Cr,"₹5,302/month","₹63,627 / Year",92 % claim settlement ratio
Aditya Birla,Activ One Max,14,₹75 Lac,"₹1,512/month","₹18,138 / Year",96 % claim settlement ratio
Aditya Birla,Active Health Platinum - Enhanced,14,₹1 Cr,"₹2,015/month","₹24,182 / Year",96 % claim settlement ratio
ICICI Lombard,Elevate + BeFit,12,₹1 Cr,"₹1,670/month","₹20,039 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With Befit,12,₹75 Lac,"₹2,299/month","₹27,583 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim Protector and Befit,12,₹75 Lac,"₹2,299/month","₹27,583 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 with Claim + SI Protector + Befit,12,₹75 Lac,"₹2,330/month","₹27,954 / Year",99.80 % claim settlement ratio
ICICI Lombard,Health AdvantEdge Plus 2.0 With SI Protector and Befit,12,₹75 Lac,"₹2,330/month","₹27,954 / Year",99.80 % claim settlement ratio
Reliance,Health Gain Prime,15,₹1 Cr,"₹1,843/month","₹22,120 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Time,15,₹1 Cr,"₹1,848/month","₹22,176 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Global,15,₹1 Cr,"₹1,848/month","₹22,176 / Year",99.90 % claim settlement ratio
Reliance,Health Infinity With More Cover,15,₹1 Cr,"₹1,848/month","₹22,176 / Year",99.90 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹2,106/month","₹25,277 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹1,212/month","₹14,545 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 100L,25,₹75 Lac,"₹1,229/month","₹14,747 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health India with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹1,206/month","₹14,477 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 50L,25,₹75 Lac,"₹2,090/month","₹25,075 / Year",93.4 % claim settlement ratio
Manipal Cigna,Lifetime Health Global with World Wide Medical Emergency Cover of 25L,25,₹75 Lac,"₹2,084/month","₹25,008 / Year",93.4 % claim settlement ratio
Royal Sundaram,Lifeline Supreme,15,₹1 Cr,"₹1,583/month","₹18,991 / Year",92 % claim settlement ratio
Royal Sundaram,Lifeline Elite,15,₹1 Cr,"₹5,641/month","₹67,695 / Year",92 % claim settlement ratio
Universal Sompo,A Plus Silver,20,₹75 Lac,"₹1,733/month","₹20,792 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold,20,₹75 Lac,"₹1,789/month","₹21,464 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond,20,₹75 Lac,"₹1,993/month","₹23,919 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + Non medical items,20,₹75 Lac,"₹1,802/month","₹21,629 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + Non medical items,20,₹75 Lac,"₹1,859/month","₹22,302 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + Non medical items,20,₹75 Lac,"₹2,063/month","₹24,756 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Silver + PED waiting period waiver,20,₹75 Lac,"₹2,084/month","₹25,004 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Gold + PED waiting period waiver,20,₹75 Lac,"₹2,140/month","₹25,677 / Year",96 % claim settlement ratio
Universal Sompo,A Plus Diamond + PED waiting period waiver,20,₹75 Lac,"₹2,344/month","₹28,131 / Year",96 % claim settlement ratio
Digit Insurance,Double Wallet Plan,10,₹1 Cr,"₹1,613/month","₹19,352 / Year",96 % claim settlement ratio
Digit Insurance,Infinity Wallet Plan,10,₹1 Cr,"₹1,932/month","₹23,189 / Year",96 % claim settlement ratio
Digit Insurance,Worldwide Treatment plan,10,₹1 Cr,"₹3,447/month","₹41,360 / Year",96 % claim settlement ratio
